,TickerSymbol,ContractName,Open,High,Low,Close,Settlement,Volume,OpenInterest,Date
173,PEGAS G8BM102022,Oct-2022,267.0,272.0,242.0,242.0,246.865,65.0,1252,2022-09-05T00:00:00.0000000
174,PEGAS G8BM102022,Oct-2022,218.3,240.0,218.3,240.0,240.898,67.0,1319,2022-09-06T00:00:00.0000000
175,PEGAS G8BM102022,Oct-2022,231.2,231.2,215.5,215.5,212.057,122.0,1410,2022-09-07T00:00:00.0000000
176,PEGAS G8BM102022,Oct-2022,211.0,218.0,209.75,218.0,216.772,86.0,1481,2022-09-08T00:00:00.0000000
177,PEGAS G8BM102022,Oct-2022,212.0,213.75,201.985,201.985,208.032,247.0,1892,2022-09-09T00:00:00.0000000
178,PEGAS G8BM102022,Oct-2022,199.9,199.9,191.5,191.5,192.046,238.0,2084,2022-09-12T00:00:00.0000000
179,PEGAS G8BM102022,Oct-2022,186.5,199.0,186.5,199.0,199.1,56.0,2123,2022-09-13T00:00:00.0000000
180,PEGAS G8BM102022,Oct-2022,206.0,224.9,206.0,224.9,218.538,25.0,2208,2022-09-14T00:00:00.0000000
181,PEGAS G8BM102022,Oct-2022,229.0,229.89,213.5,213.5,215.866,93.0,2566,2022-09-15T00:00:00.0000000
182,PEGAS G8BM102022,Oct-2022,203.0,203.0,188.15,193.5,189.1,190.0,2722,2022-09-16T00:00:00.0000000
183,PEGAS G8BM102022,Oct-2022,178.0,188.25,178.0,183.0,183.783,39.0,2757,2022-09-19T00:00:00.0000000
184,PEGAS G8BM102022,Oct-2022,178.3,195.075,178.3,195.075,194.871,149.0,2889,2022-09-20T00:00:00.0000000
185,PEGAS G8BM102022,Oct-2022,211.0,211.0,193.0,193.0,191.241,418.0,3506,2022-09-21T00:00:00.0000000
186,PEGAS G8BM102022,Oct-2022,195.0,195.1,190.0,190.0,188.329,130.0,3636,2022-09-22T00:00:00.0000000
187,PEGAS G8BM102022,Oct-2022,187.94,187.94,185.0,186.0,186.956,66.0,3834,2022-09-23T00:00:00.0000000
188,PEGAS G8BM102022,Oct-2022,171.25,175.0,171.0,174.5,176.179,192.0,4306,2022-09-26T00:00:00.0000000
189,PEGAS G8BM102022,Oct-2022,192.25,192.25,181.5,184.0,185.538,182.0,5065,2022-09-27T00:00:00.0000000
190,PEGAS G8BM102022,Oct-2022,208.0,208.0,192.0,206.0,205.356,265.0,20112,2022-09-28T00:00:00.0000000
191,PEGAS G8BM102022,Oct-2022,198.55,200.0,184.0,184.0,186.98,194.0,20314,2022-09-29T00:00:00.0000000
192,PEGAS G8BM112022,Nov-2022,202.0,202.0,202.0,202.0,188.6,23.0,15960,2022-09-30T00:00:00.0000000
193,PEGAS G8BM112022,Nov-2022,176.0,180.0,167.0,168.0,167.388,288.0,16288,2022-10-03T00:00:00.0000000
194,PEGAS G8BM112022,Nov-2022,162.5,166.0,161.2,161.2,159.783,179.0,16467,2022-10-04T00:00:00.0000000
195,PEGAS G8BM112022,Nov-2022,158.0,173.5,157.0,173.0,172.44,62.0,16557,2022-10-05T00:00:00.0000000
196,PEGAS G8BM112022,Nov-2022,173.5,175.0,166.0,172.0,172.0,192.0,16747,2022-10-06T00:00:00.0000000
197,PEGAS G8BM112022,Nov-2022,164.0,164.0,153.0,154.0,154.756,428.0,17288,2022-10-07T00:00:00.0000000
198,PEGAS G8BM112022,Nov-2022,150.59,160.0,149.0,160.0,152.532,238.0,17525,2022-10-10T00:00:00.0000000
199,PEGAS G8BM112022,Nov-2022,161.0,164.0,153.5,153.5,154.85,113.0,17629,2022-10-11T00:00:00.0000000
200,PEGAS G8BM112022,Nov-2022,155.0,157.375,154.0,157.25,158.961,77.0,17788,2022-10-12T00:00:00.0000000
201,PEGAS G8BM112022,Nov-2022,158.0,160.0,150.0,151.0,151.23,116.0,18132,2022-10-13T00:00:00.0000000
202,PEGAS G8BM112022,Nov-2022,144.75,146.0,140.25,140.25,139.85,277.0,18473,2022-10-14T00:00:00.0000000
203,PEGAS G8BM112022,Nov-2022,133.0,136.05,124.75,124.75,125.764,527.0,19010,2022-10-17T00:00:00.0000000
204,PEGAS G8BM112022,Nov-2022,115.0,119.0,111.5,111.5,112.536,211.0,19206,2022-10-18T00:00:00.0000000
205,PEGAS G8BM112022,Nov-2022,118.25,118.8,111.5,112.6,111.97,115.0,19441,2022-10-19T00:00:00.0000000
206,PEGAS G8BM112022,Nov-2022,125.0,131.0,122.0,128.25,127.728,720.0,20085,2022-10-20T00:00:00.0000000
207,PEGAS G8BM112022,Nov-2022,119.0,119.0,113.0,115.0,116.054,607.0,20990,2022-10-21T00:00:00.0000000
208,PEGAS G8BM112022,Nov-2022,106.0,106.0,97.0,99.5,99.77,75.0,21050,2022-10-24T00:00:00.0000000
209,PEGAS G8BM112022,Nov-2022,99.5,105.0,99.5,102.0,105.0,165.0,21378,2022-10-25T00:00:00.0000000
210,PEGAS G8BM112022,Nov-2022,103.0,103.0,103.0,103.0,106.2,84.0,21634,2022-10-26T00:00:00.0000000
211,PEGAS G8BM112022,Nov-2022,101.75,112.8,101.75,112.0,111.05,482.0,22051,2022-10-27T00:00:00.0000000
212,PEGAS G8BM112022,Nov-2022,118.3,119.0,115.0,118.0,116.4,333.0,22472,2022-10-28T00:00:00.0000000
213,PEGAS G8BM122022,Dec-2022,140.0,140.0,121.415,121.415,123.35,26.0,17812,2022-10-31T00:00:00.0000000
214,PEGAS G8BM122022,Dec-2022,117.0,119.0,117.0,119.0,116.71,52.0,17883,2022-11-01T00:00:00.0000000
215,PEGAS G8BM122022,Dec-2022,126.0,127.75,121.5,127.75,126.97,151.0,18057,2022-11-02T00:00:00.0000000
216,PEGAS G8BM122022,Dec-2022,135.0,135.0,126.4,127.0,126.863,68.0,18125,2022-11-03T00:00:00.0000000
217,PEGAS G8BM122022,Dec-2022,129.0,129.0,114.5,114.5,115.01,251.0,18411,2022-11-04T00:00:00.0000000
218,PEGAS G8BM122022,Dec-2022,111.0,113.0,108.0,108.0,108.917,584.0,18995,2022-11-07T00:00:00.0000000
219,PEGAS G8BM122022,Dec-2022,115.0,117.0,111.0,117.0,116.943,452.0,19441,2022-11-08T00:00:00.0000000
220,PEGAS G8BM122022,Dec-2022,115.6,118.2,112.8,112.8,112.803,81.0,19537,2022-11-09T00:00:00.0000000
221,PEGAS G8BM122022,Dec-2022,115.5,115.5,110.5,112.25,113.19,179.0,19716,2022-11-10T00:00:00.0000000
